nim	onic 105; bg	52; 150MPa; 1098K; BG;
150	.	
109	8	
3		
377	16	
	0.00E+00	0.00E+00
	5.76E+04	1.01E-03
	1.44E+05	1.32E-03
	2.30E+05	1.05E-03
	4.90E+05	1.52E-03
	5.76E+05	1.58E-03
	6.64E+05	1.69E-03
	7.50E+05	1.86E-03
	8.37E+05	2.23E-03
	1.09E+06	2.06E-03
	1.18E+06	2.45E-03
	1.27E+06	2.26E-03
	1.35E+06	2.47E-03
	1.44E+06	2.43E-03
	1.70E+06	2.83E-03
	1.78E+06	2.94E-03
	1.87E+06	2.89E-03
	1.96E+06	2.99E-03
	2.04E+06	3.06E-03
	2.30E+06	3.48E-03
	2.39E+06	4.55E-03
	2.47E+06	4.48E-03
	2.56E+06	4.46E-03
	2.83E+06	4.59E-03
	2.91E+06	4.64E-03
	3.00E+06	4.67E-03
	3.10E+06	4.85E-03
	3.17E+06	4.87E-03
	3.43E+06	5.23E-03
	3.51E+06	5.29E-03
	3.60E+06	5.58E-03
	3.69E+06	5.67E-03
	3.77E+06	5.76E-03
	4.03E+06	6.05E-03
	4.12E+06	6.29E-03
	4.20E+06	6.38E-03
	4.29E+06	6.47E-03
	4.38E+06	6.60E-03
	4.47E+06	7.04E-03
	4.90E+06	7.43E-03
	4.99E+06	7.57E-03
	5.25E+06	8.04E-03
	5.33E+06	8.02E-03
	5.42E+06	8.27E-03
	5.50E+06	8.43E-03
	5.59E+06	8.62E-03
	5.85E+06	9.12E-03
	5.92E+06	9.34E-03
	5.98E+06	9.48E-03
	7.10E+06	1.18E-02
	7.18E+06	1.17E-02
	7.27E+06	1.23E-02
	7.62E+06	1.30E-02
	7.71E+06	1.34E-02
	7.79E+06	1.36E-02
	7.88E+06	1.36E-02
	7.96E+06	1.39E-02
	8.22E+06	1.46E-02
	8.31E+06	1.49E-02
	8.40E+06	1.52E-02
	8.48E+06	1.53E-02
	8.57E+06	1.56E-02
	8.83E+06	1.65E-02
	8.91E+06	1.68E-02
	9.00E+06	1.72E-02
