 nimonic 105;  bg45; 170MPa; 1148K; BG;
 170.
 1148.
  3
400   
    0.00000E+00    0.00000E+00
    6.30000E+01    8.44455E-05
    2.10000E+02    1.91320E-04
    1.05200E+03    5.94507E-04
    1.87700E+03    6.78508E-04
    2.69600E+03    8.40395E-04
    3.51700E+03    8.75993E-04
    4.35100E+03    1.02959E-03
    5.16600E+03    1.05378E-03
    5.99400E+03    1.06400E-03
    6.82600E+03    1.16271E-03
    7.64500E+03    1.18355E-03
    8.46200E+03    1.26219E-03
    9.28500E+03    1.27930E-03
    1.09320E+04    1.48276E-03
    1.25770E+04    1.50202E-03
    1.42160E+04    1.59401E-03
    1.74910E+04    1.63233E-03
    2.07870E+04    1.70445E-03
    2.40430E+04    1.76517E-03
    2.71500E+04    1.73137E-03
    3.04320E+04    1.79858E-03
    3.69650E+04    2.00822E-03
    4.02540E+04    2.04043E-03
    4.68040E+04    2.19778E-03
    5.01120E+04    2.21546E-03
    5.66510E+04    2.32191E-03
    5.99360E+04    2.39889E-03
    6.64640E+04    2.49531E-03
    6.97450E+04    2.52790E-03
    7.62810E+04    2.60585E-03
    7.95470E+04    2.64767E-03
    8.61220E+04    2.74819E-03
    8.93980E+04    2.78294E-03
    9.59300E+04    2.89639E-03
    9.91870E+04    3.19705E-03
    1.05765E+05    3.31360E-03
    1.09049E+05    3.40463E-03
    1.15585E+05    3.38351E-03
    1.18872E+05    3.48140E-03
    1.25447E+05    3.53672E-03
    1.28734E+05    3.56242E-03
    1.35270E+05    3.54280E-03
    1.38552E+05    3.63264E-03
    1.45120E+05    3.70344E-03
    1.48386E+05    3.78914E-03
    1.54954E+05    3.84621E-03
    1.58253E+05    3.89033E-03
    1.61519E+05    4.01346E-03
    1.65925E+05    4.25655E-03
    1.70332E+05    4.34887E-03
    1.72539E+05    4.38395E-03
    1.76953E+05    4.25988E-03
    1.79161E+05    4.32104E-03
    1.83569E+05    4.63185E-03
    1.85775E+05    4.62420E-03
    1.90182E+05    4.58717E-03
    1.92385E+05    4.72864E-03
    1.96799E+05    4.68475E-03
    1.99007E+05    4.58286E-03
    2.03418E+05    4.57855E-03
    2.05788E+05    4.69454E-03
    2.08175E+05    4.74039E-03
    2.09167E+05    4.73157E-03
    2.13578E+05    4.83795E-03
    2.15780E+05    4.86303E-03
    2.20188E+05    4.94275E-03
    2.22392E+05    4.95177E-03
    2.26797E+05    5.06263E-03
    2.29001E+05    5.18836E-03
    2.33409E+05    5.13529E-03
    2.35615E+05    5.16251E-03
    2.40031E+05    5.18855E-03
    2.42238E+05    5.21538E-03
    2.46644E+05    5.57564E-03
    2.47507E+05    5.47854E-03
    2.61171E+05    5.68995E-03
    2.63372E+05    5.77040E-03
    2.66197E+05    6.00053E-03
    2.68404E+05    5.87373E-03
    2.72807E+05    5.89584E-03
    2.75014E+05    5.99290E-03
    2.79423E+05    5.95925E-03
    2.81623E+05    5.96238E-03
    2.86036E+05    6.23023E-03
    2.88242E+05    6.20166E-03
    2.92651E+05    6.28794E-03
    2.94851E+05    6.29576E-03
    2.99265E+05    6.36951E-03
    3.01467E+05    6.38202E-03
    3.05877E+05    6.44950E-03
    3.08085E+05    6.49292E-03
    3.12499E+05    6.60224E-03
    3.14700E+05    6.64292E-03
    3.19104E+05    6.72211E-03
    3.21305E+05    6.75750E-03
    3.25714E+05    6.83277E-03
    3.27917E+05    6.89495E-03
    3.32331E+05    7.04273E-03
    3.34527E+05    7.08358E-03
    3.38974E+05    7.29368E-03
    3.39217E+05    7.27218E-03
    3.43070E+05    7.41542E-03
    3.45271E+05    7.44297E-03
    3.49672E+05    7.44610E-03
    3.51428E+05    7.68132E-03
    3.55180E+05    7.90555E-03
    3.57382E+05    7.99460E-03
    3.59584E+05    7.87840E-03
    3.61790E+05    8.06705E-03
    3.66195E+05    8.27362E-03
    3.68400E+05    8.21134E-03
    3.72807E+05    8.16800E-03
    3.75013E+05    8.32243E-03
    3.79413E+05    8.43331E-03
    3.81621E+05    8.57696E-03
    3.86026E+05    8.49616E-03
    3.88229E+05    8.48601E-03
    3.92637E+05    8.70440E-03
    3.94842E+05    8.75631E-03
    3.99246E+05    8.73308E-03
    4.01448E+05    8.81816E-03
    4.05856E+05    8.75943E-03
    4.08058E+05    9.05013E-03
    4.12469E+05    9.03297E-03
    4.14671E+05    9.12485E-03
    4.19080E+05    9.22003E-03
    4.21295E+05    9.49033E-03
    4.23504E+05    9.44138E-03
    4.25707E+05    9.60478E-03
    4.30113E+05    9.77146E-03
    4.32316E+05    1.01049E-02
    4.36725E+05    9.92175E-03
    4.38928E+05    1.03152E-02
    4.43344E+05    1.00075E-02
